Switching to IMU channel 1,,,,,,,,,,
20:12.8,0,0.275,1.922,10.12,-52.522,-53.565,11.896,-0.266,-0.336,0.158
20:12.9,0,0.628,1.687,10.709,-152.835,-28.661,30.191,-0.266,-0.336,0.158
Switching to IMU channel 1,,,,,,,,,,
20:13.0,1,2.432,2.589,9.022,139.339,-126.4,-8.278,-0.366,-0.231,-0.034
20:13.1,1,2.432,2.903,8.512,66.922,-42.365,-5.774,-0.366,-0.231,-0.034
Switching to IMU channel 0,,,,,,,,,,
20:13.2,0,0.745,2.118,10.944,37.357,-279.165,105.739,-0.266,-0.336,0.158
20:13.3,0,1.412,1.726,9.885,-146.643,-178.991,122.296,-0.266,-0.336,0.158
Switching to IMU channel 1,,,,,,,,,,
20:13.4,1,2.55,3.256,8.394,-30.609,-255.791,-38.47,-0.366,-0.231,-0.034
20:13.5,1,3.217,3.883,8.512,95.583,-89.183,-59.687,-0.366,-0.231,-0.034
Switching to IMU channel 0,,,,,,,,,,
20:13.5,0,3.256,1.138,9.689,-154.365,-317.704,83.826,-0.266,-0.336,0.158
20:13.6,0,3.962,0.745,8.983,45.217,10.157,71.791,-0.266,-0.336,0.158
Switching to IMU channel 1,,,,,,,,,,
20:13.7,1,4.08,4.197,8.041,127.235,-68.035,-28.174,-0.366,-0.231,-0.034
20:13.8,1,3.962,4.59,7.414,40.348,-134.539,-30.052,-0.366,-0.231,-0.034
Switching to IMU channel 0,,,,,,,,,,
20:13.9,0,4.119,0.706,8.904,-74.226,28.174,0.696,-0.266,-0.336,0.158
20:14.0,0,3.883,0.981,8.944,-22.261,-19.13,-36.104,-0.266,-0.336,0.158
Switching to IMU channel 1,,,,,,,,,,
20:14.1,1,4.276,5.296,7.845,45.843,-78.539,-38.957,-0.366,-0.231,-0.034
20:14.2,1,4.864,4.746,7.806,120.696,34.435,-50.991,-0.366,-0.231,-0.034
Switching to IMU channel 0,,,,,,,,,,
20:14.3,0,4.197,0.196,10.042,-35.27,29.913,-10.504,-0.266,-0.336,0.158
20:14.4,0,4.197,0.353,9.807,-29.565,-47.861,40.348,-0.266,-0.336,0.158
Switching to IMU channel 1,,,,,,,,,,
20:14.5,1,4.433,5.806,7.453,116.661,-88.626,-41.322,-0.366,-0.231,-0.034
20:14.6,1,4.629,6.276,7.375,118.052,-90.087,-32.209,-0.366,-0.231,-0.034
Switching to IMU channel 0,,,,,,,,,,
20:14.7,0,4.315,0.118,9.336,28.174,36.522,-26.713,-0.266,-0.336,0.158
20:14.8,0,4.393,0.039,9.218,-10.852,-79.096,-39.165,-0.266,-0.336,0.158
Switching to IMU channel 1,,,,,,,,,,
20:14.9,1,5.296,5.806,6.276,85.983,-38.748,-25.878,-0.366,-0.231,-0.034
20:15.0,1,5.099,6.237,6.276,8.348,-82.365,-84.104,-0.366,-0.231,-0.034
Switching to IMU channel 0,,,,,,,,,,
20:15.1,0,4.197,0.275,9.493,-54.817,-32.417,-51.339,-0.266,-0.336,0.158
20:15.2,0,4.629,-0.628,9.414,-64.487,10.365,-123.548,-0.266,-0.336,0.158
Switching to IMU channel 1,,,,,,,,,,
20:15.3,1,5.335,6.551,6.355,110.47,-85.357,-1.391,-0.366,-0.231,-0.034
20:15.4,1,5.335,6.59,5.688,87.165,-93.635,-5.843,-0.366,-0.231,-0.034
Switching to IMU channel 0,,,,,,,,,,
20:15.5,0,4.197,-0.235,8.826,-52.035,1.67,-51.061,-0.266,-0.336,0.158
20:15.6,0,4.668,-0.431,8.904,-131.548,-18.087,-73.113,-0.266,-0.336,0.158
Switching to IMU channel 1,,,,,,,,,,
20:15.7,1,6.512,6.747,4.433,13.217,-93.913,-27.617,-0.366,-0.231,-0.034
20:15.8,1,6.002,7.178,4.707,21.983,-72.765,-23.652,-0.366,-0.231,-0.034
Switching to IMU channel 0,,,,,,,,,,
20:15.9,0,4.354,-0.667,8.983,-77.078,-104.835,-59.965,-0.266,-0.336,0.158
20:16.0,0,4.472,-0.667,8.748,-28.8,-6.817,-2.087,-0.266,-0.336,0.158
Switching to IMU channel 1,,,,,,,,,,
20:16.1,1,5.727,7.532,4.472,31.93,-69.774,-41.461,-0.366,-0.231,-0.034
20:16.2,1,6.002,7.257,4.629,25.67,-58.157,5.148,-0.366,-0.231,-0.034
Switching to IMU channel 0,,,,,,,,,,
20:16.3,0,4.55,-0.706,9.061,-2.991,-3.617,-17.183,-0.266,-0.336,0.158
20:16.4,0,4.276,-0.392,9.101,-42.713,-16.278,-21.078,-0.266,-0.336,0.158
Switching to IMU channel 1,,,,,,,,,,
20:16.5,1,6.041,7.688,4.158,51.409,-1.878,-29.217,-0.366,-0.231,-0.034
20:16.6,1,6.198,7.218,4.158,93.913,-94.817,49.53,-0.366,-0.231,-0.034
Switching to IMU channel 0,,,,,,,,,,
20:16.7,0,4.746,-0.981,9.257,18.504,35.757,-40.974,-0.266,-0.336,0.158
20:16.8,0,4.864,-0.785,9.022,23.374,-7.513,-30.609,-0.266,-0.336,0.158
Switching to IMU channel 1,,,,,,,,,,
20:16.9,1,5.923,7.924,3.334,46.887,-66.922,-7.304,-0.366,-0.231,-0.034
20:17.0,1,6.472,7.924,3.413,35.2,-41.252,-36.452,-0.366,-0.231,-0.034
Switching to IMU channel 0,,,,,,,,,,
20:17.1,0,4.158,-0.667,9.689,-51.2,-90.643,-5.496,-0.266,-0.336,0.158
20:17.2,0,4.354,-1.02,9.336,-8.765,-51.757,-47.374,-0.266,-0.336,0.158
Switching to IMU channel 1,,,,,,,,,,
20:17.3,1,6.276,7.806,3.099,71.722,-11.061,-26.852,-0.366,-0.231,-0.034
20:17.4,1,6.198,8.238,2.785,80.348,-35.13,-3.2,-0.366,-0.231,-0.034
Switching to IMU channel 0,,,,,,,,,,
20:17.5,0,4.354,-1.255,8.944,-63.374,36.174,-54.052,-0.266,-0.336,0.158
